og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch,pollination,sym_RS_scored,Accepted_name,Accepted_name_rank,Accepted_family,Accepted_genus,sym_genus,sym_family,sym_species
Abolboda.poarchon,Xyridaceae,0.270833333,NA,1,"Between Itapirina and Brotas, Sao Paulo (Brazil)",-22.26813889,-0.909083333,NA,Cerrado,Oriani & Scatena (2011). Ann. Bot. 107: 611-619.,NA,SC Xen,1,Oct-Nov.,NA,NA,Open at 9:00,marcoshighquality,0.270833333,Abolboda poarchon,NA,NA,Abolboda poarchon,species,Xyridaceae,Abolboda,zygomorphic,actinomorphic zygomorphic,zygomorphic
Abolboda.pulchella,Xyridaceae,0.25,NA,1,"Between Itapirina and Brotas, Sao Paulo (Brazil)",-22.26813889,-0.909083333,NA,Cerrado,Oriani & Scatena (2011). Ann. Bot. 107: 611-619.,NA,SC Xen,1,Oct-Nov.,NA,NA,Open at 10:30,marcoshighquality,0.25,Abolboda pulchella,NA,NA,Abolboda pulchella,species,Xyridaceae,Abolboda,zygomorphic,actinomorphic zygomorphic,zygomorphic
Abrus.precatorius,Fabaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,0,Am species. Data are valid for both sexes.,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Abrus precatorius,NA,NA,Abrus precatorius,species,Fabaceae,Abrus,zygomorphic,actinomorphic zygomorphic,zygomorphic
Acanthus.spinosus,Acanthaceae,5,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,5,Acanthus spinosus,NA,NA,Acanthus spinosus,species,Acanthaceae,Acanthus,zygomorphic,actinomorphic zygomorphic,zygomorphic
Achillea.ambrosiaca,Asteraceae,8.4,0.4,3,Mt. Olympos (Greece)-1994,NA,NA,NA,NA,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun.,NA,NA,NA,marcoshighquality marcoscommunity,8.4,Achillea ambrosiaca,NA,NA,Achillea ambrosiaca,species,Asteraceae,Achillea,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Achyranthes.indica(=Achyrantes.aspera.var.indica),Amaranthaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,0,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Achyrantes aspera var indica,NA,NA,Achyranthes aspera var. indica,variety,Amaranthaceae,Achyranthes,actinomorphic,actinomorphic,actinomorphic
Acnistus.arborescens,Solanaceae,3.1,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3.1,Acnistus arborescens,NA,NA,Iochroma arborescens,species,Solanaceae,Iochroma,actinomorphic,actinomorphic zygomorphic,actinomorphic
Aconitum.columbianum,Ranunculaceae,4.93,0.388749181,2,"RMBL, Colorado (USA)",38.96,-106.99,2900,Alpine meadow,Fung & Thomson (2017). J. Poll. Ecol. 21: 86-91.,NA,NA,NA,NA,4.37,0.32139165,NA,marcoshighquality,4.93,Aconitum columbianum,NA,NA,Aconitum columbianum,species,Ranunculaceae,Aconitum,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Aconitum.lycoctonum,Ranunculaceae,4.25,0.23,3,Zürich (Switzerland),NA,NA,500,Temperate forest,Utelly & Roy (2000). Oikos 89: 461-470.,NA,NA,1,Flower length estimated as helment length.,NA,NA,NA,marcoshighquality marcoshighquality,4.25,Aconitum lycoctonum,NA,NA,Aconitum lycoctonum,species,Ranunculaceae,Aconitum,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Aconitum.lycoctonum,Ranunculaceae,6.36,0.24,3,St. Moritz (Switzerland),NA,NA,2020,Forest,Utelly & Roy (2000). Oikos 89: 461-470.,NA,SC,1,Flower length estimated as helment length.,NA,NA,NA,marcoshighquality marcoshighquality,6.36,Aconitum lycoctonum,NA,NA,Aconitum lycoctonum,species,Ranunculaceae,Aconitum,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
